
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      11 |         420 |       00:16:25 |       98.91% |              |       0.1024 |              |          0.0050 |
|      11 |         440 |       00:17:11 |       99.28% |              |       0.0737 |              |          0.0050 |
|      12 |         460 |       00:17:57 |       99.16% |              |       0.0986 |              |          0.0050 |
|      12 |         480 |       00:18:42 |       99.12% |              |       0.1026 |              |          0.0050 |
|      13 |         500 |       00:19:34 |       99.36% |       98.93% |       0.0630 |       0.1388 |          0.0050 |
|      13 |         520 |       00:20:20 |       99.27% |              |       0.0628 |              |          0.0050 |
|      14 |         540 |       00:21:06 |       99.32% |              |       0.0802 |              |          0.0050 |
|      14 |         560 |       00:21:51 |       99.33% |              |       0.0646 |              |          0.0050 |
|      15 |         580 |       00:22:37 |       98.85% |              |       0.1188 |              |          0.0050 |
|      15 |         600 |       00:23:28 |       99.16% |       98.95% |       0.1007 |       0.1355 |          0.0050 |
|      16 |         620 |       00:24:15 |       99.36% |              |       0.0650 |              |          0.0050 |
|      16 |         640 |       00:25:00 |       99.41% |              |       0.0526 |              |          0.0050 |
|      17 |         660 |       00:25:46 |       99.21% |              |       0.0783 |              |          0.0050 |
|      17 |         680 |       00:26:31 |       99.13% |              |       0.1020 |              |          0.0050 |
|      18 |         700 |       00:27:23 |       99.30% |       98.90% |       0.0547 |       0.1367 |          0.0050 |
|      18 |         720 |       00:28:08 |       99.28% |              |       0.0863 |              |          0.0050 |
|      19 |         740 |       00:28:55 |       99.17% |              |       0.0940 |              |          0.0050 |
|      19 |         760 |       00:29:40 |       99.38% |              |       0.0570 |              |          0.0050 |
|      20 |         780 |       00:30:26 |       98.88% |              |       0.0982 |              |          0.0050 |
|      20 |         800 |       00:31:17 |       99.05% |       98.91% |       0.0691 |       0.1394 |          0.0050 |
|      21 |         820 |       00:32:04 |       99.32% |              |       0.0630 |              |          0.0005 |
|      21 |         840 |       00:32:49 |       99.47% |              |       0.0509 |              |          0.0005 |
|      22 |         860 |       00:33:35 |       99.18% |              |       0.0902 |              |          0.0005 |
|      22 |         880 |       00:34:20 |       99.48% |              |       0.0552 |              |          0.0005 |
|      23 |         900 |       00:35:12 |       99.26% |       98.92% |       0.0821 |       0.1368 |          0.0005 |
|      23 |         920 |       00:35:58 |       99.27% |              |       0.0741 |              |          0.0005 |
|      24 |         940 |       00:36:44 |       99.39% |              |       0.0631 |              |          0.0005 |
|      24 |         960 |       00:37:29 |       99.40% |              |       0.0708 |              |          0.0005 |
|      25 |         980 |       00:38:16 |       99.24% |              |       0.0795 |              |          0.0005 |
|      25 |        1000 |       00:39:07 |       99.52% |       98.99% |       0.0529 |       0.1299 |          0.0005 |
|      26 |        1020 |       00:39:54 |       99.09% |              |       0.0954 |              |          0.0005 |
|      26 |        1040 |       00:40:38 |       99.32% |              |       0.0660 |              |          0.0005 |
|      27 |        1060 |       00:41:25 |       99.34% |              |       0.0635 |              |          0.0005 |
|      27 |        1080 |       00:42:10 |       99.29% |              |       0.0811 |              |          0.0005 |
|      28 |        1100 |       00:43:02 |       99.22% |       98.93% |       0.0588 |       0.1384 |          0.0005 |
|      28 |        1120 |       00:43:47 |       99.41% |              |       0.0511 |              |          0.0005 |
|      29 |        1140 |       00:44:34 |       99.36% |              |       0.0701 |              |          0.0005 |
|      29 |        1160 |       00:45:19 |       99.19% |              |       0.0793 |              |          0.0005 |
|      30 |        1180 |       00:46:05 |       99.25% |              |       0.0851 |              |          0.0005 |
|      30 |        1200 |       00:46:56 |       99.12% |       98.94% |       0.0871 |       0.1413 |          0.0005 |
|      31 |        1220 |       00:47:42 |       99.23% |              |       0.0871 |              |      5.0000e-05 |
|      31 |        1240 |       00:48:28 |       99.47% |              |       0.0560 |              |      5.0000e-05 |
|      32 |        1260 |       00:49:14 |       99.40% |              |       0.0556 |              |      5.0000e-05 |
