
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      86 |        3440 |       02:11:03 |       98.45% |              |       0.2013 |              |      5.0000e-10 |
|      87 |        3460 |       02:11:48 |       98.71% |              |       0.2324 |              |      5.0000e-10 |
|      87 |        3480 |       02:12:31 |       98.36% |              |       0.2907 |              |      5.0000e-10 |
|      88 |        3500 |       02:13:23 |       98.76% |       98.08% |       0.2348 |       0.3089 |      5.0000e-10 |
|      88 |        3520 |       02:14:07 |       98.20% |              |       0.3101 |              |      5.0000e-10 |
|      89 |        3540 |       02:14:52 |       98.71% |              |       0.2163 |              |      5.0000e-10 |
|      89 |        3560 |       02:15:35 |       98.78% |              |       0.1846 |              |      5.0000e-10 |
|      90 |        3580 |       02:16:20 |       98.03% |              |       0.2369 |              |      5.0000e-10 |
|      90 |        3600 |       02:17:10 |       97.79% |       98.16% |       0.2810 |       0.2969 |      5.0000e-10 |
|      91 |        3620 |       02:17:56 |       97.72% |              |       0.3352 |              |      5.0000e-11 |
|      91 |        3640 |       02:18:39 |       98.11% |              |       0.2690 |              |      5.0000e-11 |
|      92 |        3660 |       02:19:24 |       98.61% |              |       0.2303 |              |      5.0000e-11 |
|      92 |        3680 |       02:20:08 |       98.96% |              |       0.1623 |              |      5.0000e-11 |
|      93 |        3700 |       02:20:59 |       98.17% |       98.13% |       0.2967 |       0.3050 |      5.0000e-11 |
|      93 |        3720 |       02:21:44 |       98.59% |              |       0.2238 |              |      5.0000e-11 |
|      94 |        3740 |       02:22:28 |       99.02% |              |       0.1529 |              |      5.0000e-11 |
