
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     114 |        4540 |       02:59:23 |       98.85% |              |       0.1585 |              |      5.0000e-13 |
|     114 |        4560 |       03:00:08 |       98.51% |              |       0.2133 |              |      5.0000e-13 |
|     115 |        4580 |       03:00:55 |       99.24% |              |       0.1643 |              |      5.0000e-13 |
|     115 |        4600 |       03:01:46 |       98.73% |       98.62% |       0.1487 |       0.2420 |      5.0000e-13 |
|     116 |        4620 |       03:02:33 |       99.01% |              |       0.1546 |              |      5.0000e-13 |
|     116 |        4640 |       03:03:19 |       99.09% |              |       0.2019 |              |      5.0000e-13 |
|     117 |        4660 |       03:04:05 |       98.67% |              |       0.2448 |              |      5.0000e-13 |
|     117 |        4680 |       03:04:50 |       98.77% |              |       0.1985 |              |      5.0000e-13 |
|     118 |        4700 |       03:05:43 |       98.89% |       98.62% |       0.2135 |       0.2421 |      5.0000e-13 |
|     118 |        4720 |       03:06:29 |       98.70% |              |       0.1665 |              |      5.0000e-13 |
|     119 |        4740 |       03:07:16 |       98.44% |              |       0.1638 |              |      5.0000e-13 |
|     119 |        4760 |       03:08:01 |       98.71% |              |       0.2128 |              |      5.0000e-13 |
|     120 |        4780 |       03:08:48 |       99.19% |              |       0.1730 |              |      5.0000e-13 |
|     120 |        4800 |       03:09:40 |       98.72% |       98.64% |       0.2698 |       0.2423 |      5.0000e-13 |
|     121 |        4820 |       03:10:27 |       99.05% |              |       0.1726 |              |      5.0000e-14 |
|     121 |        4840 |       03:11:12 |       98.84% |              |       0.1942 |              |      5.0000e-14 |
|     122 |        4860 |       03:11:59 |       98.33% |              |       0.2098 |              |      5.0000e-14 |
|     122 |        4880 |       03:12:44 |       98.90% |              |       0.1638 |              |      5.0000e-14 |
|     123 |        4900 |       03:13:37 |       98.77% |       98.64% |       0.1581 |       0.2415 |      5.0000e-14 |
|     123 |        4920 |       03:14:23 |       98.89% |              |       0.1501 |              |      5.0000e-14 |
|     124 |        4940 |       03:15:10 |       99.09% |              |       0.1712 |              |      5.0000e-14 |
|     124 |        4960 |       03:15:55 |       98.46% |              |       0.1562 |              |      5.0000e-14 |
|     125 |        4980 |       03:16:42 |       98.85% |              |       0.1737 |              |      5.0000e-14 |
|     125 |        5000 |       03:17:33 |       99.09% |       98.62% |       0.1322 |       0.2490 |      5.0000e-14 |
|     126 |        5020 |       03:18:20 |       98.62% |              |       0.1787 |              |      5.0000e-14 |
|     126 |        5040 |       03:19:06 |       98.81% |              |       0.2195 |              |      5.0000e-14 |
|     127 |        5060 |       03:19:52 |       98.36% |              |       0.2587 |              |      5.0000e-14 |
|     127 |        5080 |       03:20:38 |       98.73% |              |       0.1977 |              |      5.0000e-14 |
|     128 |        5100 |       03:21:31 |       98.82% |       98.64% |       0.1826 |       0.2362 |      5.0000e-14 |
|     128 |        5120 |       03:22:17 |       99.09% |              |       0.1312 |              |      5.0000e-14 |
|     129 |        5140 |       03:23:03 |       98.68% |              |       0.2784 |              |      5.0000e-14 |
|     129 |        5160 |       03:23:49 |       98.49% |              |       0.1998 |              |      5.0000e-14 |
|     130 |        5180 |       03:24:35 |       99.06% |              |       0.1709 |              |      5.0000e-14 |
|     130 |        5200 |       03:25:27 |       99.17% |       98.60% |       0.1878 |       0.2423 |      5.0000e-14 |
|     131 |        5220 |       03:26:14 |       99.20% |              |       0.1981 |              |      5.0000e-15 |
|     131 |        5240 |       03:26:59 |       98.95% |              |       0.1653 |              |      5.0000e-15 |
|     132 |        5260 |       03:27:47 |       98.48% |              |       0.1898 |              |      5.0000e-15 |
|     132 |        5280 |       03:28:32 |       98.67% |              |       0.2224 |              |      5.0000e-15 |
|     133 |        5300 |       03:29:26 |       99.02% |       98.62% |       0.1498 |       0.2452 |      5.0000e-15 |
|     133 |        5320 |       03:30:11 |       98.77% |              |       0.1553 |              |      5.0000e-15 |
|     134 |        5340 |       03:30:58 |       99.02% |              |       0.1339 |              |      5.0000e-15 |
|     134 |        5360 |       03:31:43 |       98.66% |              |       0.1636 |              |      5.0000e-15 |
|     135 |        5380 |       03:32:30 |       98.90% |              |       0.1392 |              |      5.0000e-15 |
|     135 |        5400 |       03:33:21 |       98.04% |       98.63% |       0.2415 |       0.2408 |      5.0000e-15 |
|     136 |        5420 |       03:34:09 |       98.65% |              |       0.2465 |              |      5.0000e-15 |
